"Species","Latitude","Longitude","species","decimalLatitude","decimalLongitude"
"Machaerium incorruptibile",-21.5444444444444,-41.2047222222222,NA,NA,NA
"Senna affinis",-21.4191666666667,-41.0733333333333,NA,NA,NA
"Piptadenia paniculata",-21.2997222222222,-41.0911111111111,NA,NA,NA
"Acosmium lentiscifolium",-21.4005555555556,-41.0811111111111,NA,NA,NA
"Metrodorea nigra",-21.402778,-41.080833,NA,NA,NA
"Acosmium lentiscifolium",-21.34,-41.2313888888889,NA,NA,NA
"Albizia polycephala",-21.3366666666667,-41.2333333333333,NA,NA,NA
"Senegalia polyphylla",-21.3636111111111,-41.0855555555556,NA,NA,NA
"Libidibia ferrea",-21.4233333333333,-41.2311111111111,NA,NA,NA
"Melanoxylon brauna",-21.3788888888889,-41.0822222222222,NA,NA,NA
"Amburana cearensis",-21.3408333333333,-41.2305555555556,NA,NA,NA
"Trigoniodendron spiritusanctense",-21.386666,-41.084166,NA,NA,NA
"Machaerium punctatum",-21.3388888888889,-41.2341666666667,NA,NA,NA
"Anadenanthera colubrina",-21.3366666666667,-41.2333333333333,NA,NA,NA
"Copaifera lucens",-21.5444444444444,-41.2047222222222,NA,NA,NA
"Parapiptadenia pterosperma",-21.3727777777778,-41.0958333333333,NA,NA,NA
"Parapiptadenia pterosperma",-21.3402777777778,-41.2311111111111,NA,NA,NA
"Machaerium punctatum",-21.4097222222222,-41.0825,NA,NA,NA
"Libidibia ferrea",-21.3802777777778,-41.2230555555556,NA,NA,NA
"Platypodium elegans",-21.5444444444444,-41.2047222222222,NA,NA,NA
"Libidibia ferrea",-21.4044444444444,-41.0827777777778,NA,NA,NA
"Machaerium punctatum",-21.393333,-41.086667,NA,NA,NA
"Poecilanthe falcata",-21.3816666666667,-41.0680555555556,NA,NA,NA
"Mimosa xanthocentra",-21.3880555555556,-41.0841666666667,NA,NA,NA
"Mimosa bimucronata",-21.414166,-41.078333,NA,NA,NA
"Mimosa bimucronata",-21.3880555555556,-41.0841666666667,NA,NA,NA
"Mimosa bimucronata",-21.4141666666667,-41.0783333333333,NA,NA,NA
"Melanoxylon brauna",-21.4280555555556,-41.1361111111111,NA,NA,NA
"Phtisica marina",-21.3827361111111,-41.0154305555556,NA,NA,NA
"Melanoxylon brauna",-21.372222,-41.081944,NA,NA,NA
"Anadenanthera peregrina",-21.3713888888889,-41.0963888888889,NA,NA,NA
"Machaerium punctatum",-21.3933333333333,-41.0866666666667,NA,NA,NA
"Machaerium lanceolatum",-21.575833,-41.098333,NA,NA,NA
"Pera glabrata",-21.5769444,-41.0994444,NA,NA,NA
"Pseudopiptadenia contorta",-21.404722,-41.082222,NA,NA,NA
"Mimosa bimucronata",-21.388055,-41.084166,NA,NA,NA
"Centrolobium sclerophyllum",-21.3816666666667,-41.0680555555556,NA,NA,NA
"Eugenia astringens",-21.4448,-41.0332,NA,NA,NA
"Machaerium incorruptibile",-21.3672222222222,-41.0819444444444,NA,NA,NA
"Monilicarpa brasiliana",-21.29612,-41.09625,NA,NA,NA
"Centrolobium sclerophyllum",-21.381667,-41.080556,NA,NA,NA
"Cyclaspis perelegans",-21.4121027777778,-41.0181058333333,NA,NA,NA
"Melanoxylon brauna",-21.3672222222222,-41.0819444444444,NA,NA,NA
"Albizia polycephala",-21.4141666666667,-41.0777777777778,NA,NA,NA
"Piptadenia gonoacantha",-21.45361,-41.085,NA,NA,NA
"Cyclaspis striata",-21.2921916666667,-41.0593472222222,NA,NA,NA
"Machaerium uncinatum",-21.3947222222222,-41.0847222222222,NA,NA,NA
"Machaerium brasiliense",-21.4055555555556,-41.0830555555556,NA,NA,NA
"Inga laurina",-21.371389,-41.096111,NA,NA,NA
"Dalbergia frutescens",-21.3716666666667,-41.0986111111111,NA,NA,NA
"Machaerium brasiliense",-21.4066666666667,-41.0830555555556,NA,NA,NA
"Albizia polycephala",-21.411944,-41.081111,NA,NA,NA
"Machaerium hirtum",-21.3975,-41.079166,NA,NA,NA
"Dendropsophus decipiens",-21.4888888888889,-41.2305555555556,NA,NA,NA
"Oxyrhopus petolarius",-21.4913888888889,-41.2319444444444,NA,NA,NA
"Dalbergia frutescens",-21.3877777777778,-41.0841666666667,NA,NA,NA
"Machaerium hirtum",-21.3975,-41.0791666666667,NA,NA,NA
"Libidibia ferrea",-21.3947222222222,-41.0847222222222,NA,NA,NA
"Platymiscium floribundum",-21.3963888888889,-41.0811111111111,NA,NA,NA
"Philodryas patagoniensis",-21.4683333333333,-41.1994444444444,NA,NA,NA
"Albizia polycephala",-21.4119444444444,-41.0811111111111,NA,NA,NA
"Helicops carinicaudus",-21.3825,-41.1825,NA,NA,NA
"Pseudopiptadenia contorta",-21.4266666666667,-41.0827777777778,NA,NA,NA
"Pseudopiptadenia contorta",-21.4016666666667,-41.0822222222222,NA,NA,NA
"Myrocarpus frondosus",-21.3716666666667,-41.0986111111111,NA,NA,NA
