"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-81.84648,12.16297,2.75,"Halichoeres poeyi"
"gbif",-81.871108,12.173608,2.65,"Halichoeres poeyi"
"gbif",-81.858608,12.144442,2,"Halichoeres poeyi"
"gbif",-81.89,12.08,15,"Halichoeres poeyi"
"gbif",-67.15586,18.4264,2.74,"Halichoeres poeyi"
"gbif",-68.23308,12.094591,NA,"Halichoeres poeyi"
"gbif",-64.59743,17.76278,7,"Halichoeres poeyi"
"gbif",-64.8954,17.734,8,"Halichoeres poeyi"
"gbif",-64.8135,17.77388,10,"Halichoeres poeyi"
"gbif",-67.26573,18.35065,2.44,"Halichoeres poeyi"
"gbif",-67.26918,18.35743,3.66,"Halichoeres poeyi"
"gbif",-74.21598,11.24602,NA,"Halichoeres poeyi"
"gbif",-74.19433,11.26672,NA,"Halichoeres poeyi"
"gbif",-77.356667,8.672167,10.5,"Halichoeres poeyi"
"gbif",-67.32993,18.00138,4,"Halichoeres poeyi"
"gbif",-86.96249,20.499667,NA,"Halichoeres poeyi"
"gbif",-62.800252,17.911054,NA,"Halichoeres poeyi"
"gbif",-79.832186,15.834211,3.3,"Halichoeres poeyi"
"gbif",-79.841028,15.809056,8,"Halichoeres poeyi"
"gbif",-79.850692,15.804141,11.6,"Halichoeres poeyi"
"gbif",-79.839859,15.833428,9.6,"Halichoeres poeyi"
"gbif",-79.83236,15.832056,7,"Halichoeres poeyi"
"gbif",-79.848611,15.793972,15,"Halichoeres poeyi"
"gbif",-79.845083,15.796417,2,"Halichoeres poeyi"
"gbif",-79.888708,15.894373,19.6,"Halichoeres poeyi"
"gbif",-87.8276,18.2667,0,"Halichoeres poeyi"
"gbif",-39.6975,-19.749167,NA,"Halichoeres poeyi"
"gbif",-82.92519,24.56931,14,"Halichoeres poeyi"
"gbif",-82.92509,24.56908,13.7,"Halichoeres poeyi"
"gbif",-82.94328,24.57724,15.2,"Halichoeres poeyi"
"gbif",-82.94323,24.57739,16.2,"Halichoeres poeyi"
"gbif",-82.80419,24.72293,13.1,"Halichoeres poeyi"
"gbif",-82.80421,24.72275,13.6,"Halichoeres poeyi"
"gbif",-82.81426,24.72437,17.8,"Halichoeres poeyi"
"gbif",-82.81093,24.7243,15.4,"Halichoeres poeyi"
"gbif",-82.81432,24.72439,17.8,"Halichoeres poeyi"
"gbif",-82.872,24.6069,15.4,"Halichoeres poeyi"
"gbif",-82.8719,24.60679,20.9,"Halichoeres poeyi"
"gbif",-82.8107,24.72435,16.3,"Halichoeres poeyi"
"gbif",-82.95756,24.63837,22.6,"Halichoeres poeyi"
"gbif",-82.9025,24.61122,11,"Halichoeres poeyi"
"gbif",-82.9025,24.61115,9.4,"Halichoeres poeyi"
"gbif",-82.95744,24.63825,20.6,"Halichoeres poeyi"
"gbif",-82.95505,24.65239,18,"Halichoeres poeyi"
"gbif",-82.96069,24.64911,18.4,"Halichoeres poeyi"
"gbif",-82.95765,24.6517,19.1,"Halichoeres poeyi"
"gbif",-82.95745,24.65183,23.8,"Halichoeres poeyi"
"gbif",-82.95522,24.65252,17.7,"Halichoeres poeyi"
"gbif",-82.85974,24.69691,8.4,"Halichoeres poeyi"
"gbif",-82.96061,24.64922,18.9,"Halichoeres poeyi"
"gbif",-82.85444,24.72297,27.3,"Halichoeres poeyi"
"gbif",-82.80991,24.72734,18,"Halichoeres poeyi"
"gbif",-82.91306,24.57572,12.5,"Halichoeres poeyi"
"gbif",-82.85437,24.72285,26.2,"Halichoeres poeyi"
"gbif",-82.81,24.72742,17.7,"Halichoeres poeyi"
"gbif",-82.85963,24.69694,7.6,"Halichoeres poeyi"
"gbif",-82.91272,24.5757,13.4,"Halichoeres poeyi"
"gbif",-82.94318,24.58912,13.7,"Halichoeres poeyi"
"gbif",-82.90698,24.58201,10.5,"Halichoeres poeyi"
"gbif",-82.94338,24.58925,13.7,"Halichoeres poeyi"
"gbif",-82.90674,24.58185,10.8,"Halichoeres poeyi"
"gbif",-82.78807,24.72353,15.4,"Halichoeres poeyi"
"gbif",-82.83385,24.72065,11,"Halichoeres poeyi"
"gbif",-82.83388,24.72058,11,"Halichoeres poeyi"
"gbif",-82.83903,24.72352,25.6,"Halichoeres poeyi"
"gbif",-82.79814,24.72669,16.2,"Halichoeres poeyi"
"gbif",-82.81797,24.72701,22.7,"Halichoeres poeyi"
"gbif",-82.81803,24.72703,23.2,"Halichoeres poeyi"
"gbif",-82.83911,24.72343,24.2,"Halichoeres poeyi"
"gbif",-82.85609,24.63791,13.1,"Halichoeres poeyi"
"gbif",-82.78785,24.72367,16.6,"Halichoeres poeyi"
"gbif",-82.96631,24.63315,24.5,"Halichoeres poeyi"
"gbif",-82.87774,24.66398,9.1,"Halichoeres poeyi"
"gbif",-82.96633,24.63333,17.2,"Halichoeres poeyi"
"gbif",-82.79827,24.72661,16,"Halichoeres poeyi"
"gbif",-82.85601,24.63783,13.1,"Halichoeres poeyi"
"gbif",-82.80435,24.72624,17.1,"Halichoeres poeyi"
"gbif",-82.85004,24.72208,16.8,"Halichoeres poeyi"
"gbif",-82.85821,24.66312,9,"Halichoeres poeyi"
"gbif",-82.80449,24.72623,16.6,"Halichoeres poeyi"
"gbif",-82.85821,24.66313,8.8,"Halichoeres poeyi"
"gbif",-82.87777,24.6641,8.7,"Halichoeres poeyi"
"gbif",-82.96134,24.5686,21.2,"Halichoeres poeyi"
"gbif",-82.81782,24.72474,19.5,"Halichoeres poeyi"
"gbif",-82.81766,24.7248,19.2,"Halichoeres poeyi"
"gbif",-82.94887,24.56783,17.8,"Halichoeres poeyi"
"gbif",-82.94888,24.56779,18.6,"Halichoeres poeyi"
